,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Sample ID
0,Adelie,39.1,18.7,181.0,3750.0,MALE,A_1
1,Adelie,39.1,18.7,181.0,3750.0,MALE,A_6
2,Adelie,39.1,18.7,181.0,3750.0,MALE,A_8
3,Adelie,39.1,18.7,181.0,3750.0,MALE,A_14
4,Adelie,39.1,18.7,181.0,3750.0,MALE,A_15
5,Adelie,39.1,18.7,181.0,3750.0,MALE,A_18
6,Adelie,39.1,18.7,181.0,3750.0,MALE,A_20
7,Adelie,39.1,18.7,181.0,3750.0,MALE,A_22
8,Adelie,39.1,18.7,181.0,3750.0,MALE,A_24
9,Adelie,39.1,18.7,181.0,3750.0,MALE,A_25
10,Adelie,39.1,18.7,181.0,3750.0,MALE,A_27
11,Adelie,39.1,18.7,181.0,3750.0,MALE,A_30
12,Adelie,39.1,18.7,181.0,3750.0,MALE,A_32
13,Adelie,39.1,18.7,181.0,3750.0,MALE,A_34
14,Adelie,39.1,18.7,181.0,3750.0,MALE,A_36
15,Adelie,39.1,18.7,181.0,3750.0,MALE,A_37
16,Adelie,39.1,18.7,181.0,3750.0,MALE,A_40
17,Adelie,39.1,18.7,181.0,3750.0,MALE,A_42
18,Adelie,39.1,18.7,181.0,3750.0,MALE,A_44
19,Adelie,39.1,18.7,181.0,3750.0,MALE,A_46
20,Adelie,39.1,18.7,181.0,3750.0,MALE,A_47
21,Adelie,39.1,18.7,181.0,3750.0,MALE,A_50
22,Adelie,39.1,18.7,181.0,3750.0,MALE,A_52
23,Adelie,39.1,18.7,181.0,3750.0,MALE,A_54
24,Adelie,39.1,18.7,181.0,3750.0,MALE,A_56
25,Adelie,39.1,18.7,181.0,3750.0,MALE,A_58
26,Adelie,39.1,18.7,181.0,3750.0,MALE,A_60
27,Adelie,39.1,18.7,181.0,3750.0,MALE,A_62
28,Adelie,39.1,18.7,181.0,3750.0,MALE,A_64
29,Adelie,39.1,18.7,181.0,3750.0,MALE,A_66
30,Adelie,39.1,18.7,181.0,3750.0,MALE,A_68
31,Adelie,39.1,18.7,181.0,3750.0,MALE,A_70
32,Adelie,39.1,18.7,181.0,3750.0,MALE,A_72
33,Adelie,39.1,18.7,181.0,3750.0,MALE,A_74
34,Adelie,39.1,18.7,181.0,3750.0,MALE,A_76
35,Adelie,39.1,18.7,181.0,3750.0,MALE,A_78
36,Adelie,39.1,18.7,181.0,3750.0,MALE,A_80
37,Adelie,39.1,18.7,181.0,3750.0,MALE,A_82
38,Adelie,39.1,18.7,181.0,3750.0,MALE,A_84
39,Adelie,39.1,18.7,181.0,3750.0,MALE,A_86
40,Adelie,39.1,18.7,181.0,3750.0,MALE,A_87
41,Adelie,39.1,18.7,181.0,3750.0,MALE,A_89
42,Adelie,39.1,18.7,181.0,3750.0,MALE,A_92
43,Adelie,39.1,18.7,181.0,3750.0,MALE,A_94
44,Adelie,39.1,18.7,181.0,3750.0,MALE,A_96
45,Adelie,39.1,18.7,181.0,3750.0,MALE,A_98
46,Adelie,39.1,18.7,181.0,3750.0,MALE,A_100
47,Adelie,39.1,18.7,181.0,3750.0,MALE,A_102
48,Adelie,39.1,18.7,181.0,3750.0,MALE,A_104
49,Adelie,39.1,18.7,181.0,3750.0,MALE,A_106
50,Adelie,39.1,18.7,181.0,3750.0,MALE,A_108
51,Adelie,39.1,18.7,181.0,3750.0,MALE,A_110
52,Adelie,39.1,18.7,181.0,3750.0,MALE,A_112
53,Adelie,39.1,18.7,181.0,3750.0,MALE,A_114
54,Adelie,39.1,18.7,181.0,3750.0,MALE,A_116
55,Adelie,39.1,18.7,181.0,3750.0,MALE,A_118
56,Adelie,39.1,18.7,181.0,3750.0,MALE,A_120
57,Adelie,39.1,18.7,181.0,3750.0,MALE,A_122
58,Adelie,39.1,18.7,181.0,3750.0,MALE,A_124
59,Adelie,39.1,18.7,181.0,3750.0,MALE,A_126
60,Adelie,39.1,18.7,181.0,3750.0,MALE,A_128
